ticker,date,period_ending,estimate,reported,surprise,surprise%
HAL,21-Apr-21,21-Mar,0.17,0.19,0.02,11.76
HAS,27-Apr-21,21-Mar,0.64,1,0.36,56.25
HBAN,22-Apr-21,21-Mar,0.33,0.48,0.15,45.45
HBI,11-May-21,21-Mar,0.26,0.39,0.13,50
HCA,22-Apr-21,21-Mar,3.35,4.14,0.79,23.58
HD,18-May-21,21-Apr,3.04,3.86,0.82,26.97
HEI,25-May-21,21-Apr,0.49,0.51,0.02,4.08
HES,28-Apr-21,21-Mar,0.44,0.82,0.38,86.36
HFC,5-May-21,21-Mar,-0.45,-0.53,-0.08,-17.78
HHC,10-May-21,21-Mar,-0.57,-0.55,0.02,3.51
HIG,22-Apr-21,21-Mar,0.75,0.56,-0.19,-25.33
HII,6-May-21,21-Mar,2.52,3.68,1.16,46.03
HIW,27-Apr-21,21-Mar,0.87,0.52,-0.35,-40.23
HLF,4-May-21,21-Mar,1.06,1.42,0.36,33.96
HLT,5-May-21,21-Mar,0.05,0.02,-0.03,-60
HOG,19-Apr-21,21-Mar,0.79,1.68,0.89,112.66
HOLX,28-Apr-21,21-Mar,2.62,2.59,-0.03,-1.15
HON,23-Apr-21,21-Mar,1.8,1.92,0.12,6.67
HPE,1-Jun-21,21-Apr,0.42,0.46,0.04,9.52
HPP,5-May-21,21-Mar,0.45,0.03,-0.42,-93.33
HPQ,27-May-21,21-Apr,0.89,0.93,0.04,4.49
HRB,15-Jun-21,21-Apr,5.11,5.16,0.05,0.98
HRC,30-Apr-21,21-Mar,1.43,1.73,0.3,20.98
HRL,20-May-21,21-Apr,0.42,0.42,0,0
HSIC,4-May-21,21-Mar,0.83,1.24,0.41,49.4
HST,4-May-21,21-Mar,-0.15,-0.22,-0.07,-46.67
HSY,29-Apr-21,21-Mar,1.81,1.92,0.11,6.08
HTA,6-May-21,21-Mar,0.43,0.1,-0.33,-76.74
HUBB,27-Apr-21,21-Mar,1.67,1.72,0.05,2.99
HUBS,5-May-21,21-Mar,0.29,0.31,0.02,6.9
HUM,28-Apr-21,21-Mar,7.21,7.67,0.46,6.38
HUN,30-Apr-21,21-Mar,0.59,0.66,0.07,11.86
HXL,19-Apr-21,21-Mar,-0.16,-0.1,0.06,37.5
HZNP,5-May-21,21-Mar,0.07,0.03,-0.04,-57.14
IAA,4-May-21,21-Mar,0.46,0.58,0.12,26.09
IAC,6-May-21,21-Mar,-0.62,0.4,1.02,164.52
IART,28-Apr-21,21-Mar,0.56,0.69,0.13,23.21
IBKR,20-Apr-21,21-Mar,0.9,0.98,0.08,8.89
IBM,19-Apr-21,21-Mar,1.67,1.77,0.1,5.99
ICE,29-Apr-21,21-Mar,1.3,1.34,0.04,3.08
ICUI,6-May-21,21-Mar,1.53,1.62,0.09,5.88
IDA,29-Apr-21,21-Mar,0.83,0.89,0.06,7.23
IDXX,4-May-21,21-Mar,1.72,2.35,0.63,36.63
IEX,27-Apr-21,21-Mar,1.41,1.51,0.1,7.09
IFF,10-May-21,21-Mar,1.51,1.6,0.09,5.96
ILMN,27-Apr-21,21-Mar,1.36,1.89,0.53,38.97
INCY,4-May-21,21-Mar,0.65,0.67,0.02,3.08
INFO,23-Mar-21,21-Feb,0.7,0.71,0.01,1.43
INTC,22-Apr-21,21-Mar,1.15,1.39,0.24,20.87
INTU,25-May-21,21-Apr,6.04,6.07,0.03,0.5
INVH,28-Apr-21,21-Mar,0.34,0.1,-0.24,-70.59
IONS,5-May-21,21-Mar,-0.48,-0.64,-0.16,-33.33
IOVA,6-May-21,21-Mar,-0.48,-0.51,-0.03,-6.25
IP,29-Apr-21,21-Mar,0.59,0.76,0.17,28.81
IPG,28-Apr-21,21-Mar,0.16,0.45,0.29,181.25
IPGP,4-May-21,21-Mar,1.07,1.17,0.1,9.35
IQV,22-Apr-21,21-Mar,1.85,2.18,0.33,17.84
IR,28-Apr-21,21-Mar,0.36,0.45,0.09,25
IRM,6-May-21,21-Mar,0.64,0.32,-0.32,-50
ISRG,20-Apr-21,21-Mar,0.87,1.17,0.3,34.48
IT,4-May-21,21-Mar,1.05,2,0.95,90.48
ITT,7-May-21,21-Mar,0.87,1.06,0.19,21.84
ITW,30-Apr-21,21-Mar,1.9,2.11,0.21,11.05
IVZ,27-Apr-21,21-Mar,0.62,0.68,0.06,9.68
JAZZ,4-May-21,21-Mar,3.69,3.92,0.23,6.23
JBGS,4-May-21,21-Mar,0.31,-0.16,-0.47,-151.61
JBHT,15-Apr-21,21-Mar,1.18,1.37,0.19,16.1
JBL,16-Mar-21,21-Feb,0.95,1.27,0.32,33.68
JBLU,27-Apr-21,21-Mar,-1.68,-1.48,0.2,11.9
JCI,30-Apr-21,21-Mar,0.49,0.52,0.03,6.12
